

This is the final analysis:
The best mean reward is 691.1160135523795 after episode 1500

Statistics for episode 500
                    customer/buy_nothing:  264.23 (mean),  259.50 (median),   38.41 (std),  179.00 (min),  413.00 (max)
         customer/purchases_new/vendor_0:  159.74 (mean),  159.00 (median),   36.92 (std),   73.00 (min),  263.00 (max)
         customer/purchases_new/vendor_1:  284.61 (mean),  285.00 (median),   58.07 (std),  105.00 (min),  430.00 (max)
 customer/purchases_refurbished/vendor_0:  107.95 (mean),  110.00 (median),   34.45 (std),    9.00 (min),  190.00 (max)
 customer/purchases_refurbished/vendor_1:  179.05 (mean),  184.00 (median),   55.23 (std),   19.00 (min),  286.00 (max)
                   owner/rebuys/vendor_0:   79.12 (mean),   79.50 (median),   30.37 (std),    8.00 (min),  156.00 (max)
                   owner/rebuys/vendor_1:  140.23 (mean),  145.00 (median),   48.62 (std),   14.00 (min),  238.00 (max)
                        owner/throw_away:  236.99 (mean),  224.50 (median),   71.78 (std),  108.00 (min),  584.00 (max)
                    profits/all/vendor_0:  678.57 (mean),  680.59 (median),   82.36 (std),  451.10 (min),  883.28 (max)
                    profits/all/vendor_1:  699.02 (mean),  726.16 (median),  165.59 (std),  162.98 (min), 1052.37 (max)
         profits/by_selling_new/vendor_0:  481.57 (mean),  479.80 (median),  108.66 (std),  218.75 (min),  789.59 (max)
         profits/by_selling_new/vendor_1:  625.27 (mean),  631.00 (median),  127.17 (std),  223.79 (min),  998.82 (max)
 profits/by_selling_refurbished/vendor_0:  370.73 (mean),  380.36 (median),  119.99 (std),   34.61 (min),  667.50 (max)
 profits/by_selling_refurbished/vendor_1:  323.78 (mean),  341.99 (median),  127.92 (std), -154.52 (min),  582.74 (max)
             profits/rebuy_cost/vendor_0:  -37.55 (mean),  -33.04 (median),   20.11 (std), -132.45 (min),   -4.21 (max)
             profits/rebuy_cost/vendor_1: -190.88 (mean), -197.83 (median),   70.04 (std), -351.94 (min),    0.00 (max)
           profits/storage_cost/vendor_0: -136.19 (mean), -140.70 (median),   56.04 (std), -280.70 (min),  -24.80 (max)
           profits/storage_cost/vendor_1:  -59.15 (mean),  -50.10 (median),   29.65 (std), -234.20 (min),  -25.30 (max)
                    state/in_circulation:  219.22 (mean),  215.05 (median),   47.39 (std),  104.68 (min),  339.56 (max)
               state/in_storage/vendor_0:   27.82 (mean),   28.54 (median),   11.42 (std),    4.86 (min),   57.66 (max)
               state/in_storage/vendor_1:   12.61 (mean),   10.68 (median),    6.27 (std),    5.08 (min),   48.40 (max)

