

This is the final analysis:
The best mean reward is 138.7073737742625 after episode 5038

Statistics for episode 1750
            actions/price_rebuy/vendor_3:    1.98 (mean),    1.98 (median),    0.00 (std),    1.98 (min),    1.98 (max)
            actions/price_rebuy/vendor_4:    0.78 (mean),    0.76 (median),    0.24 (std),    0.20 (min),    1.52 (max)
      actions/price_refurbished/vendor_0:    2.18 (mean),    2.17 (median),    0.16 (std),    1.54 (min),    2.61 (max)
      actions/price_refurbished/vendor_1:    1.81 (mean),    1.80 (median),    0.22 (std),    1.26 (min),    2.59 (max)
      actions/price_refurbished/vendor_2:    2.35 (mean),    2.30 (median),    0.32 (std),    2.02 (min),    3.60 (max)
      actions/price_refurbished/vendor_3:    3.00 (mean),    3.00 (median),    0.00 (std),    3.00 (min),    3.00 (max)
      actions/price_refurbished/vendor_4:    3.19 (mean),    3.13 (median),    0.60 (std),    1.78 (min),    5.16 (max)
                    customer/buy_nothing:   44.09 (mean),   44.00 (median),    8.13 (std),   21.00 (min),   73.00 (max)
         customer/purchases_new/vendor_0:  209.26 (mean),  190.50 (median),   65.67 (std),  114.00 (min),  460.00 (max)
         customer/purchases_new/vendor_1:  113.96 (mean),  115.00 (median),   15.06 (std),   61.00 (min),  151.00 (max)
         customer/purchases_new/vendor_2:    4.25 (mean),    3.00 (median),    3.82 (std),    0.00 (min),   21.00 (max)
         customer/purchases_new/vendor_3:   47.19 (mean),   47.00 (median),    8.46 (std),   18.00 (min),   72.00 (max)
         customer/purchases_new/vendor_4:  111.84 (mean),  113.00 (median),   14.44 (std),   56.00 (min),  164.00 (max)
 customer/purchases_refurbished/vendor_0:   89.51 (mean),   90.00 (median),   15.70 (std),   45.00 (min),  141.00 (max)
 customer/purchases_refurbished/vendor_1:  126.65 (mean),  127.00 (median),   19.81 (std),   62.00 (min),  178.00 (max)
 customer/purchases_refurbished/vendor_2:   74.74 (mean),   75.00 (median),   12.86 (std),   37.00 (min),  106.00 (max)
 customer/purchases_refurbished/vendor_3:   43.96 (mean),   44.00 (median),    8.60 (std),   17.00 (min),   70.00 (max)
 customer/purchases_refurbished/vendor_4:  131.57 (mean),  132.00 (median),   22.37 (std),   70.00 (min),  187.00 (max)
                   owner/rebuys/vendor_0:   56.52 (mean),   55.00 (median),   17.15 (std),   19.00 (min),  114.00 (max)
                   owner/rebuys/vendor_1:   82.41 (mean),   82.00 (median),   21.68 (std),   25.00 (min),  135.00 (max)
                   owner/rebuys/vendor_2:   46.13 (mean),   44.00 (median),   16.68 (std),    9.00 (min),   95.00 (max)
                   owner/rebuys/vendor_3:  193.21 (mean),  192.00 (median),   56.89 (std),   79.00 (min),  331.00 (max)
