

This is the final analysis:
The best mean reward is 252.15700151594578 after episode 20000

Statistics for episode 5000
            actions/price_rebuy/vendor_1:    1.08 (mean),    1.07 (median),    0.27 (std),    0.37 (min),    1.74 (max)
            actions/price_rebuy/vendor_2:    0.52 (mean),    0.50 (median),    0.38 (std),    0.02 (min),    2.10 (max)
            actions/price_rebuy/vendor_3:    1.98 (mean),    1.98 (median),    0.00 (std),    1.98 (min),    1.98 (max)
            actions/price_rebuy/vendor_4:    0.84 (mean),    0.82 (median),    0.29 (std),    0.09 (min),    1.90 (max)
      actions/price_refurbished/vendor_0:    2.78 (mean),    2.81 (median),    0.41 (std),    1.89 (min),    3.81 (max)
      actions/price_refurbished/vendor_1:    2.14 (mean),    2.12 (median),    0.27 (std),    1.55 (min),    3.06 (max)
      actions/price_refurbished/vendor_2:    2.51 (mean),    2.50 (median),    0.37 (std),    2.02 (min),    3.88 (max)
      actions/price_refurbished/vendor_3:    3.00 (mean),    3.00 (median),    0.00 (std),    3.00 (min),    3.00 (max)
      actions/price_refurbished/vendor_4:    3.31 (mean),    3.18 (median),    0.65 (std),    2.08 (min),    5.54 (max)
                    customer/buy_nothing:   58.31 (mean),   58.00 (median),    7.72 (std),   39.00 (min),   82.00 (max)
         customer/purchases_new/vendor_0:  105.41 (mean),  103.00 (median),   20.72 (std),   54.00 (min),  189.00 (max)
         customer/purchases_new/vendor_1:  149.53 (mean),  150.00 (median),   14.66 (std),  116.00 (min),  195.00 (max)
         customer/purchases_new/vendor_2:    7.91 (mean),    7.00 (median),    5.49 (std),    0.00 (min),   29.00 (max)
         customer/purchases_new/vendor_3:   62.23 (mean),   62.00 (median),    8.41 (std),   42.00 (min),   87.00 (max)
         customer/purchases_new/vendor_4:  124.63 (mean),  124.00 (median),   15.77 (std),   80.00 (min),  170.00 (max)
 customer/purchases_refurbished/vendor_0:   75.57 (mean),   74.50 (median),   22.58 (std),   26.00 (min),  125.00 (max)
 customer/purchases_refurbished/vendor_1:  132.24 (mean),  134.00 (median),   20.98 (std),   71.00 (min),  181.00 (max)
 customer/purchases_refurbished/vendor_2:   90.08 (mean),   91.00 (median),   14.46 (std),   50.00 (min),  127.00 (max)
 customer/purchases_refurbished/vendor_3:   58.50 (mean),   58.00 (median),    8.78 (std),   34.00 (min),   82.00 (max)
 customer/purchases_refurbished/vendor_4:  131.87 (mean),  134.00 (median),   24.70 (std),   66.00 (min),  191.00 (max)
                   owner/rebuys/vendor_0:   35.37 (mean),   34.00 (median),    9.92 (std),   11.00 (min),   64.00 (max)
                   owner/rebuys/vendor_1:   87.02 (mean),   86.00 (median),   21.94 (std),   40.00 (min),  146.00 (max)
                   owner/rebuys/vendor_2:   53.05 (mean),   52.00 (median),   18.55 (std),   13.00 (min),  108.00 (max)
                   owner/rebuys/vendor_3:  177.12 (mean),  172.00 (median),   59.60 (std),   74.00 (min),  319.00 (max)
                   owner/rebuys/vendor_4:   90.11 (mean),   89.00 (median),   23.08 (std),   28.00 (min),  172.00 (max)
                        owner/throw_away:    5.34 (mean),    5.00 (median),    2.62 (std),    0.00 (min),   17.00 (max)
