

This is the final analysis:
The best mean reward is 252.65887375236824 after episode 20029

Statistics for episode 5000
                   owner/rebuys/vendor_2:   54.86 (mean),   54.00 (median),   17.83 (std),   16.00 (min),  114.00 (max)
                   owner/rebuys/vendor_3:  189.91 (mean),  191.00 (median),   58.78 (std),   78.00 (min),  319.00 (max)
                   owner/rebuys/vendor_4:   91.73 (mean),   91.00 (median),   23.84 (std),   25.00 (min),  158.00 (max)
                        owner/throw_away:    5.99 (mean),    6.00 (median),    2.73 (std),    0.00 (min),   15.00 (max)
                    profits/all/vendor_0:  215.65 (mean),  227.22 (median),   69.01 (std),  -89.10 (min),  350.55 (max)
                    profits/all/vendor_1:  110.31 (mean),  120.37 (median),   60.18 (std), -235.39 (min),  217.81 (max)
                    profits/all/vendor_2:    3.84 (mean),   15.20 (median),   50.95 (std), -212.40 (min),  115.20 (max)
                    profits/all/vendor_3: -441.38 (mean), -471.85 (median),  202.20 (std), -824.90 (min),  106.80 (max)
                    profits/all/vendor_4:   43.78 (mean),   46.64 (median),   70.80 (std), -223.35 (min),  213.10 (max)
         profits/by_selling_new/vendor_0:  190.78 (mean),  191.31 (median),   28.05 (std),    5.67 (min),  274.66 (max)
         profits/by_selling_new/vendor_1:  151.23 (mean),  151.00 (median),   14.48 (std),  106.00 (min),  195.00 (max)
         profits/by_selling_new/vendor_2:   28.17 (mean),   24.00 (median),   21.00 (std),    0.00 (min),  106.00 (max)
         profits/by_selling_new/vendor_3:  187.46 (mean),  187.00 (median),   25.84 (std),   99.00 (min),  262.00 (max)
         profits/by_selling_new/vendor_4:  182.09 (mean),  182.27 (median),   20.13 (std),  123.97 (min),  238.45 (max)
 profits/by_selling_refurbished/vendor_0:  164.05 (mean),  169.98 (median),   50.05 (std), -229.93 (min),  260.18 (max)
 profits/by_selling_refurbished/vendor_1:  173.62 (mean),  191.43 (median),   67.26 (std), -233.24 (min),  272.08 (max)
 profits/by_selling_refurbished/vendor_2:  195.86 (mean),  196.50 (median),   24.14 (std),  125.00 (min),  268.00 (max)
 profits/by_selling_refurbished/vendor_3:  175.12 (mean),  174.00 (median),   30.42 (std),  -71.00 (min),  255.00 (max)
 profits/by_selling_refurbished/vendor_4:  181.36 (mean),  187.00 (median),   35.44 (std),  -59.00 (min),  241.00 (max)
             profits/rebuy_cost/vendor_0:   -7.46 (mean),   -4.81 (median),    7.93 (std),  -38.70 (min),    0.00 (max)
             profits/rebuy_cost/vendor_1: -148.44 (mean), -147.29 (median),   39.10 (std), -244.75 (min),  -49.50 (max)
             profits/rebuy_cost/vendor_2:  -74.30 (mean),  -72.00 (median),   50.67 (std), -209.00 (min),    0.00 (max)
             profits/rebuy_cost/vendor_3: -378.46 (mean), -380.00 (median),  116.73 (std), -638.00 (min), -156.00 (max)
             profits/rebuy_cost/vendor_4: -236.17 (mean), -234.49 (median),   77.96 (std), -457.57 (min),  -19.80 (max)
           profits/storage_cost/vendor_0: -131.71 (mean), -120.80 (median),   78.62 (std), -342.40 (min),   -8.30 (max)
           profits/storage_cost/vendor_1:  -66.10 (mean),  -51.00 (median),   40.93 (std), -204.10 (min),  -16.00 (max)
           profits/storage_cost/vendor_2: -145.89 (mean), -117.90 (median),   81.42 (std), -410.10 (min),  -54.10 (max)
           profits/storage_cost/vendor_3: -425.50 (mean), -461.45 (median),   93.12 (std), -499.10 (min),  -44.80 (max)
           profits/storage_cost/vendor_4:  -83.50 (mean),  -68.70 (median),   43.99 (std), -249.40 (min),  -30.40 (max)
                    state/in_circulation:  243.58 (mean),  249.47 (median),   58.47 (std),  139.80 (min),  338.98 (max)
               state/in_storage/vendor_0:   27.10 (mean),   24.75 (median),   16.14 (std),    1.60 (min),   69.66 (max)
               state/in_storage/vendor_1:   14.09 (mean),   11.06 (median),    8.73 (std),    3.14 (min),   42.66 (max)
               state/in_storage/vendor_2:   29.92 (mean),   24.39 (median),   16.75 (std),   10.64 (min),   83.10 (max)
               state/in_storage/vendor_3:   84.14 (mean),   91.20 (median),   18.79 (std),    8.14 (min),   99.80 (max)
               state/in_storage/vendor_4:   17.53 (mean),   14.61 (median),    9.34 (std),    6.08 (min),   51.56 (max)

Statistics for episode 15000
                                a/reward:  238.83 (mean),  254.59 (median),   64.36 (std), -124.98 (min),  383.52 (max)
              actions/price_new/vendor_0:    5.13 (mean),    5.18 (median),    0.28 (std),    4.06 (min),    5.61 (max)
              actions/price_new/vendor_1:    4.00 (mean),    4.00 (median),    0.00 (std),    4.00 (min),    4.01 (max)
              actions/price_new/vendor_2:    8.48 (mean),    8.50 (median),    0.29 (std),    7.58 (min),    8.90 (max)
              actions/price_new/vendor_3:    5.96 (mean),    5.96 (median),    0.00 (std),    5.96 (min),    5.96 (max)
              actions/price_new/vendor_4:    4.56 (mean),    4.58 (median),    0.13 (std),    4.22 (min),    4.79 (max)
            actions/price_rebuy/vendor_0:    0.12 (mean),    0.08 (median),    0.13 (std),    0.00 (min),    0.80 (max)
            actions/price_rebuy/vendor_1:    1.09 (mean),    1.09 (median),    0.27 (std),    0.41 (min),    1.80 (max)
            actions/price_rebuy/vendor_2:    0.51 (mean),    0.48 (median),    0.36 (std),    0.02 (min),    1.84 (max)
            actions/price_rebuy/vendor_3:    1.98 (mean),    1.98 (median),    0.00 (std),    1.98 (min),    1.98 (max)
            actions/price_rebuy/vendor_4:    0.80 (mean),    0.81 (median),    0.29 (std),    0.09 (min),    1.68 (max)
      actions/price_refurbished/vendor_0:    2.93 (mean),    2.91 (median),    0.52 (std),    1.84 (min),    4.12 (max)
      actions/price_refurbished/vendor_1:    2.15 (mean),    2.12 (median),    0.28 (std),    1.57 (min),    3.04 (max)
      actions/price_refurbished/vendor_2:    2.51 (mean),    2.48 (median),    0.35 (std),    2.02 (min),    3.70 (max)
      actions/price_refurbished/vendor_3:    3.00 (mean),    3.00 (median),    0.00 (std),    3.00 (min),    3.00 (max)
      actions/price_refurbished/vendor_4:    3.19 (mean),    3.12 (median),    0.62 (std),    1.92 (min),    5.34 (max)
                    customer/buy_nothing:   59.83 (mean),   60.00 (median),    8.54 (std),   39.00 (min),   88.00 (max)
         customer/purchases_new/vendor_0:   97.97 (mean),   96.00 (median),   18.72 (std),   54.00 (min),  169.00 (max)
         customer/purchases_new/vendor_1:  154.28 (mean),  154.00 (median),   14.98 (std),  113.00 (min),  212.00 (max)
         customer/purchases_new/vendor_2:    7.88 (mean),    7.00 (median),    5.27 (std),    0.00 (min),   27.00 (max)
         customer/purchases_new/vendor_3:   64.54 (mean),   65.00 (median),    8.36 (std),   42.00 (min),   98.00 (max)
         customer/purchases_new/vendor_4:  121.52 (mean),  120.50 (median),   15.99 (std),   82.00 (min),  167.00 (max)
 customer/purchases_refurbished/vendor_0:   70.24 (mean),   68.50 (median),   24.64 (std),   14.00 (min),  124.00 (max)
 customer/purchases_refurbished/vendor_1:  134.09 (mean),  135.00 (median),   22.19 (std),   68.00 (min),  187.00 (max)
 customer/purchases_refurbished/vendor_2:   92.09 (mean),   93.00 (median),   14.74 (std),   48.00 (min),  125.00 (max)
 customer/purchases_refurbished/vendor_3:   59.76 (mean),   60.00 (median),    8.68 (std),   35.00 (min),   92.00 (max)
 customer/purchases_refurbished/vendor_4:  134.65 (mean),  135.00 (median),   23.03 (std),   58.00 (min),  191.00 (max)
                   owner/rebuys/vendor_0:   29.65 (mean),   29.00 (median),    9.55 (std),    6.00 (min),   62.00 (max)
                   owner/rebuys/vendor_1:   90.73 (mean),   89.00 (median),   21.19 (std),   35.00 (min),  144.00 (max)
                   owner/rebuys/vendor_2:   54.78 (mean),   54.00 (median),   16.88 (std),   18.00 (min),  105.00 (max)
                   owner/rebuys/vendor_3:  187.12 (mean),  187.00 (median),   59.29 (std),   71.00 (min),  335.00 (max)
                   owner/rebuys/vendor_4:   93.35 (mean),   93.00 (median),   25.12 (std),   32.00 (min),  160.00 (max)
                        owner/throw_away:    6.02 (mean),    6.00 (median),    2.64 (std),    0.00 (min),   16.00 (max)
                    profits/all/vendor_0:  238.83 (mean),  254.59 (median),   64.36 (std), -124.98 (min),  383.52 (max)
                    profits/all/vendor_1:  113.57 (mean),  128.03 (median),   65.24 (std), -385.72 (min),  232.80 (max)
                    profits/all/vendor_2:    5.46 (mean),   16.00 (median),   49.89 (std), -204.60 (min),  101.30 (max)
                    profits/all/vendor_3: -426.26 (mean), -462.90 (median),  206.92 (std), -817.60 (min),  120.00 (max)
                    profits/all/vendor_4:   36.01 (mean),   44.95 (median),   86.95 (std), -534.51 (min),  236.18 (max)
         profits/by_selling_new/vendor_0:  198.85 (mean),  198.68 (median),   23.29 (std),  125.57 (min),  271.89 (max)
         profits/by_selling_new/vendor_1:  154.38 (mean),  154.00 (median),   14.96 (std),  113.19 (min),  212.00 (max)
         profits/by_selling_new/vendor_2:   28.66 (mean),   25.00 (median),   20.94 (std),    0.00 (min),  105.00 (max)
         profits/by_selling_new/vendor_3:  190.85 (mean),  192.00 (median),   24.90 (std),  124.00 (min),  290.00 (max)
         profits/by_selling_new/vendor_4:  188.25 (mean),  188.59 (median),   20.20 (std),  134.68 (min),  253.15 (max)
 profits/by_selling_refurbished/vendor_0:  168.27 (mean),  175.05 (median),   48.31 (std), -295.14 (min),  246.22 (max)
 profits/by_selling_refurbished/vendor_1:  172.47 (mean),  190.57 (median),   71.54 (std), -378.15 (min),  267.10 (max)
 profits/by_selling_refurbished/vendor_2:  196.38 (mean),  197.50 (median),   26.01 (std),  121.00 (min),  260.00 (max)
 profits/by_selling_refurbished/vendor_3:  178.09 (mean),  180.00 (median),   30.25 (std),  -86.00 (min),  276.00 (max)
 profits/by_selling_refurbished/vendor_4:  178.95 (mean),  190.00 (median),   49.08 (std), -181.00 (min),  250.00 (max)
             profits/rebuy_cost/vendor_0:   -6.30 (mean),   -3.80 (median),    7.07 (std),  -37.08 (min),    0.00 (max)
             profits/rebuy_cost/vendor_1: -147.19 (mean), -141.58 (median),   40.14 (std), -266.00 (min),  -61.00 (max)
             profits/rebuy_cost/vendor_2:  -74.82 (mean),  -71.50 (median),   49.59 (std), -226.00 (min),    0.00 (max)
             profits/rebuy_cost/vendor_3: -372.75 (mean), -372.50 (median),  117.60 (std), -665.00 (min), -142.00 (max)
             profits/rebuy_cost/vendor_4: -248.85 (mean), -244.67 (median),   85.71 (std), -491.97 (min),  -21.46 (max)
           profits/storage_cost/vendor_0: -122.00 (mean), -108.95 (median),   74.07 (std), -358.30 (min),   -6.80 (max)
           profits/storage_cost/vendor_1:  -66.09 (mean),  -49.10 (median),   41.81 (std), -195.80 (min),  -14.30 (max)
           profits/storage_cost/vendor_2: -144.77 (mean), -119.55 (median),   79.79 (std), -381.30 (min),  -53.80 (max)
           profits/storage_cost/vendor_3: -422.45 (mean), -461.45 (median),   96.92 (std), -499.20 (min),  -44.80 (max)
           profits/storage_cost/vendor_4:  -82.34 (mean),  -65.30 (median),   43.11 (std), -242.30 (min),  -29.30 (max)
                    state/in_circulation:  241.25 (mean),  239.75 (median),   57.75 (std),  135.92 (min),  338.26 (max)
               state/in_storage/vendor_0:   25.21 (mean),   22.56 (median),   15.24 (std),    1.36 (min),   72.98 (max)
               state/in_storage/vendor_1:   14.09 (mean),   10.68 (median),    8.91 (std),    2.92 (min),   40.92 (max)
               state/in_storage/vendor_2:   29.70 (mean),   24.73 (median),   16.43 (std),   10.56 (min),   77.42 (max)
               state/in_storage/vendor_3:   83.55 (mean),   91.09 (median),   19.52 (std),    8.12 (min),   99.76 (max)
               state/in_storage/vendor_4:   17.30 (mean),   13.76 (median),    9.15 (std),    5.82 (min),   50.18 (max)

Statistics for episode 20000
                                a/reward:  240.53 (mean),  252.56 (median),   63.65 (std), -166.45 (min),  374.43 (max)
              actions/price_new/vendor_0:    5.14 (mean),    5.16 (median),    0.29 (std),    3.96 (min),    5.62 (max)
              actions/price_new/vendor_1:    4.00 (mean),    4.00 (median),    0.00 (std),    4.00 (min),    4.01 (max)
              actions/price_new/vendor_2:    8.48 (mean),    8.50 (median),    0.30 (std),    7.54 (min),    8.90 (max)
              actions/price_new/vendor_3:    5.96 (mean),    5.96 (median),    0.00 (std),    5.96 (min),    5.96 (max)
              actions/price_new/vendor_4:    4.56 (mean),    4.57 (median),    0.13 (std),    4.15 (min),    4.79 (max)
            actions/price_rebuy/vendor_0:    0.13 (mean),    0.10 (median),    0.13 (std),    0.00 (min),    0.75 (max)
            actions/price_rebuy/vendor_1:    1.09 (mean),    1.10 (median),    0.27 (std),    0.20 (min),    1.77 (max)
            actions/price_rebuy/vendor_2:    0.52 (mean),    0.48 (median),    0.37 (std),    0.02 (min),    2.00 (max)
            actions/price_rebuy/vendor_3:    1.98 (mean),    1.98 (median),    0.00 (std),    1.98 (min),    1.98 (max)
            actions/price_rebuy/vendor_4:    0.82 (mean),    0.83 (median),    0.29 (std),    0.09 (min),    1.81 (max)
      actions/price_refurbished/vendor_0:    2.94 (mean),    2.94 (median),    0.53 (std),    1.86 (min),    4.15 (max)
      actions/price_refurbished/vendor_1:    2.16 (mean),    2.12 (median),    0.27 (std),    1.64 (min),    3.12 (max)
      actions/price_refurbished/vendor_2:    2.51 (mean),    2.48 (median),    0.36 (std),    2.02 (min),    3.88 (max)
      actions/price_refurbished/vendor_3:    3.00 (mean),    3.00 (median),    0.00 (std),    3.00 (min),    3.00 (max)
      actions/price_refurbished/vendor_4:    3.22 (mean),    3.20 (median),    0.60 (std),    1.96 (min),    5.36 (max)
                    customer/buy_nothing:   60.06 (mean),   60.00 (median),    8.45 (std),   32.00 (min),   86.00 (max)
         customer/purchases_new/vendor_0:   97.17 (mean),   95.50 (median),   18.50 (std),   49.00 (min),  163.00 (max)
         customer/purchases_new/vendor_1:  154.12 (mean),  154.00 (median),   14.43 (std),  116.00 (min),  195.00 (max)
         customer/purchases_new/vendor_2:    7.79 (mean),    7.00 (median),    5.36 (std),    0.00 (min),   23.00 (max)
         customer/purchases_new/vendor_3:   64.95 (mean),   65.00 (median),    8.87 (std),   42.00 (min),   89.00 (max)
         customer/purchases_new/vendor_4:  121.32 (mean),  122.00 (median),   15.45 (std),   87.00 (min),  175.00 (max)
 customer/purchases_refurbished/vendor_0:   70.42 (mean),   69.00 (median),   25.46 (std),   16.00 (min),  127.00 (max)
 customer/purchases_refurbished/vendor_1:  133.31 (mean),  134.00 (median),   22.57 (std),   61.00 (min),  186.00 (max)
 customer/purchases_refurbished/vendor_2:   92.22 (mean),   92.00 (median),   14.25 (std),   46.00 (min),  135.00 (max)
 customer/purchases_refurbished/vendor_3:   60.08 (mean),   60.00 (median),    8.93 (std),   37.00 (min),   91.00 (max)
 customer/purchases_refurbished/vendor_4:  135.19 (mean),  135.00 (median),   23.09 (std),   60.00 (min),  195.00 (max)
                   owner/rebuys/vendor_0:   29.79 (mean),   30.00 (median),    8.87 (std),    8.00 (min),   57.00 (max)
                   owner/rebuys/vendor_1:   90.15 (mean),   89.00 (median),   21.35 (std),   32.00 (min),  144.00 (max)
                   owner/rebuys/vendor_2:   54.91 (mean),   55.00 (median),   17.62 (std),   16.00 (min),  106.00 (max)
                   owner/rebuys/vendor_3:  185.50 (mean),  188.00 (median),   58.70 (std),   69.00 (min),  321.00 (max)
                   owner/rebuys/vendor_4:   93.62 (mean),   93.00 (median),   25.22 (std),   27.00 (min),  160.00 (max)
                        owner/throw_away:    5.97 (mean),    6.00 (median),    2.85 (std),    0.00 (min),   18.00 (max)
                    profits/all/vendor_0:  240.53 (mean),  252.56 (median),   63.65 (std), -166.45 (min),  374.43 (max)
                    profits/all/vendor_1:  109.32 (mean),  124.54 (median),   66.73 (std), -262.10 (min),  228.49 (max)
                    profits/all/vendor_2:    5.19 (mean),   16.55 (median),   50.15 (std), -198.80 (min),  106.50 (max)
                    profits/all/vendor_3: -420.04 (mean), -448.00 (median),  208.01 (std), -805.80 (min),  142.00 (max)
                    profits/all/vendor_4:   31.78 (mean),   35.66 (median),   86.02 (std), -433.24 (min),  204.67 (max)
         profits/by_selling_new/vendor_0:  196.97 (mean),  195.48 (median),   24.24 (std),  106.29 (min),  272.54 (max)
